airFlightNum,eventTime,eventPriority,eventType
UA11304,3763,1,2
UA11304,3823,1,3
UA10448,4265,1,2
UA10448,4325,1,3
UA10517,4340,1,2
UA10517,4400,1,3
UA10266,4673,1,2
UA10266,4733,1,3
UA11025,5163,1,2
UA11025,5223,1,3
UA20906,6189,1,2
UA20906,6249,1,3
UA10792,6335,1,2
UA10792,6395,1,3
UA10344,7398,1,2
UA10344,7458,1,3
UA10608,10617,1,2
UA10608,10677,1,3
UA20466,10807,1,2
UA20466,10867,1,3
UA21226,11239,1,2
UA21226,11299,1,3
UA20547,12585,1,2
UA20547,12645,1,3
UA10888,12797,1,2
UA10888,12857,1,3
UA11387,13999,1,2
UA11387,14059,1,3
UA20601,24600,1,0
UA21179,24600,1,0
UA20056,24600,1,1
UA20387,24600,1,1
UA21110,24660,1,0
UA21210,24660,1,0
UA21290,24660,1,0
UA21296,24660,1,0
UA20601,24660,1,1
UA21179,24660,1,1
UA20215,24720,1,0
UA20335,24720,1,0
UA20550,24720,1,0
UA20605,24720,1,0
UA21026,24720,1,0
UA21194,24720,1,0
UA21110,24720,1,1
UA21210,24720,1,1
UA21290,24720,1,1
UA21296,24720,1,1
UA20692,24780,1,0
UA20963,24780,1,0
UA21267,24780,1,0
UA20215,24780,1,1
UA20335,24780,1,1
UA20550,24780,1,1
UA20605,24780,1,1
UA21026,24780,1,1
UA21194,24780,1,1
UA20425,24840,1,0
UA21093,24840,1,0
UA21240,24840,1,0
UA20692,24840,1,1
UA20963,24840,1,1
UA21267,24840,1,1
UA10102,1323,1,2
UA10102,1383,1,3
UA10758,1468,1,2
UA10758,1528,1,3
UA20387,2523,1,2
UA20387,2583,1,3
UA10525,3468,1,2
UA10525,3528,1,3
UA21026,3818,1,2
UA21026,3878,1,3
UA10756,4230,1,2
UA10756,4290,1,3
UA20963,5379,1,2
UA20963,5439,1,3
UA20056,5538,1,2
UA20056,5598,1,3
UA20550,5808,1,2
UA20550,5868,1,3
UA10270,5904,1,2
UA10234,5904,1,2
UA10755,5946,1,2
UA21179,5949,1,2
UA10270,5964,1,3
UA10234,5964,1,3
UA10755,6006,1,3
UA21179,6009,1,3
UA20605,10003,1,2
UA20605,10063,1,3
UA21110,12414,1,2
UA21110,12474,1,3
UA21290,12683,1,2
UA21290,12743,1,3
UA11361,13745,1,2
UA11361,13805,1,3
UA20215,15277,10,2
UA20215,15337,1,3
UA21296,15941,10,2
UA21296,16001,1,3
UA11132,16771,10,2
UA11132,16831,1,3
UA20065,24900,1,0
UA20815,24900,1,0
UA20934,24900,1,0
UA21253,24900,1,0
UA20425,24900,1,1
UA21093,24900,1,1
UA21240,24900,1,1
UA20088,24960,1,0
UA20250,24960,1,0
UA20477,24960,1,0
UA20498,24960,1,0
UA20793,24960,1,0
UA20797,24960,1,0
UA20833,24960,1,0
UA21004,24960,1,0
UA21202,24960,1,0
UA20065,24960,1,1
UA20815,24960,1,1
UA20934,24960,1,1
UA21253,24960,1,1
UA20214,25020,1,0
UA20088,25020,1,1
UA20250,25020,1,1
UA20477,25020,1,1
UA20498,25020,1,1
UA20793,25020,1,1
UA20797,25020,1,1
UA20833,25020,1,1
UA21004,25020,1,1
UA21202,25020,1,1
UA20226,25080,1,0
UA20314,25080,1,0
UA20951,25080,1,0
UA20214,25080,1,1
UA20097,25140,1,0
UA20573,25140,1,0
UA21057,25140,1,0
UA20226,25140,1,1
UA20314,25140,1,1
UA20951,25140,1,1
UA20815,633,1,2
UA20815,693,1,3
UA20498,1073,1,2
UA20498,1133,1,3
UA10200,1305,1,2
UA10200,1365,1,3
UA11182,2987,1,2
UA21093,3015,1,2
UA11182,3047,1,3
UA21093,3075,1,3
UA10938,3974,1,2
UA11355,4001,1,2
UA10938,4034,1,3
UA11355,4061,1,3
UA10321,4516,1,2
UA21202,4526,1,2
UA10321,4576,1,3
UA21202,4586,1,3
UA10951,4833,1,2
UA10951,4893,1,3
UA10052,5592,1,2
UA10052,5652,1,3
UA11085,6265,1,2
UA20088,6302,1,2
UA10466,6324,1,2
UA11085,6325,1,3
UA20314,6341,1,2
UA20088,6362,1,3
UA10466,6384,1,3
UA20314,6401,1,3
UA20214,6438,1,2
UA20214,6498,1,3
UA10874,6570,1,2
UA10874,6630,1,3
UA10949,6840,1,2
UA10949,6900,1,3
UA20065,7874,1,2
UA20065,7934,1,3
UA10909,8800,1,2
UA10909,8860,1,3
UA10214,9579,1,2
UA10214,9639,1,3
UA20934,9972,1,2
UA10985,10013,1,2
UA20934,10032,1,3
UA10985,10073,1,3
UA10863,10247,1,2
UA10863,10307,1,3
UA20833,11258,1,2
UA20833,11318,1,3
UA10708,11479,1,2
UA10708,11539,1,3
UA21253,12414,1,2
UA21253,12474,1,3
UA10156,14234,1,2
UA10156,14294,1,3
UA20063,25200,1,0
UA20135,25200,1,0
UA20431,25200,1,0
UA20097,25200,1,1
UA20573,25200,1,1
UA21057,25200,1,1
UA21062,25260,1,0
UA20063,25260,1,1
UA20135,25260,1,1
UA20431,25260,1,1
UA20043,25320,1,0
UA20138,25320,1,0
UA20146,25320,1,0
UA20382,25320,1,0
UA21007,25320,1,0
UA21090,25320,1,0
UA21126,25320,1,0
UA21130,25320,1,0
UA21291,25320,1,0
UA21062,25320,1,1
UA20243,25380,1,0
UA20727,25380,1,0
UA21276,25380,1,0
UA20043,25380,1,1
UA20138,25380,1,1
UA20146,25380,1,1
UA20382,25380,1,1
UA21007,25380,1,1
UA21090,25380,1,1
UA21126,25380,1,1
UA21130,25380,1,1
UA21291,25380,1,1
UA21049,25440,1,0
UA21176,25440,1,0
UA21249,25440,1,0
UA20243,25440,1,1
UA20727,25440,1,1
UA21276,25440,1,1
